author_id,author_name_latin,author_name_greek,author_name_english,epitheton,era,source,work_id,title_latin,title_english,title_greek,cts_urn,cts_confirmed
0001,Apollonius Rhodius,Ἀπολλώνιος Ῥόδιος,Apollonius Rhodius,Epic.,3rd c. B.C.,tlg:cd;bcdavasconcelos;cts:perseids;wikidata,001,Argonautica,Argonautica,,urn:cts:greekLit:tlg0001.tlg001,True
0001,Apollonius Rhodius,Ἀπολλώνιος Ῥόδιος,Apollonius Rhodius,Epic.,3rd c. B.C.,tlg:cd;bcdavasconcelos;cts:perseids;wikidata,002,Fragmenta,,,urn:cts:greekLit:tlg0001.tlg002,False
0001,Apollonius Rhodius,Ἀπολλώνιος Ῥόδιος,Apollonius Rhodius,Epic.,3rd c. B.C.,tlg:cd;bcdavasconcelos;cts:perseids;wikidata,003,Epigrammata,,,urn:cts:greekLit:tlg0001.tlg003,False
0002,Theognis,Θέογνις,Theognis,Eleg.,5th–6th c. B.C.,tlg:cd;bcdavasconcelos;wikidata,001,Elegiae,,,urn:cts:greekLit:tlg0002.tlg001,False
0002,Theognis,Θέογνις,Theognis,Eleg.,5th–6th c. B.C.,tlg:cd;bcdavasconcelos;wikidata,004,Epigrammata,,,urn:cts:greekLit:tlg0002.tlg004,False
0003,Thucydides,Θουκυδίδης,Thucydides,Hist.,4th–5th c. B.C.,tlg:cd;bcdavasconcelos;cts:perseids;wikidata,001,Histories,History of the Peloponnesian War,Ἱστορίαι,urn:cts:greekLit:tlg0003.tlg001,True
0003,Thucydides,Θουκυδίδης,Thucydides,Hist.,4th–5th c. B.C.,tlg:cd;bcdavasconcelos;cts:perseids;wikidata,002,Epigramma,,,urn:cts:greekLit:tlg0003.tlg002,False
0004,Diogenes Laertius,Διογένης Λαέρτιος,Diogenes Laertius,Biogr.,,tlg:cd;tlg:post-e;bcdavasconcelos;cts:perseids;wikidata,001,Vitae philosophorum,,Βίοι καὶ γνῶμαι τῶν ἐν φιλοσοφίᾳ εὐδοκιμησάντων,urn:cts:greekLit:tlg0004.tlg001,True
0004,Diogenes Laertius,Διογένης Λαέρτιος,Diogenes Laertius,Biogr.,,tlg:cd;tlg:post-e;bcdavasconcelos;cts:perseids;wikidata,002,Epigrammata,,,urn:cts:greekLit:tlg0004.tlg002,False
0004,Diogenes Laertius,Διογένης Λαέρτιος,Diogenes Laertius,Biogr.,,tlg:cd;tlg:post-e;bcdavasconcelos;cts:perseids;wikidata,003,Vitae philosophorum,,,urn:cts:greekLit:tlg0004.tlg003,False
0005,Theocritus Bucol.,Θεόκριτος,Theocritus,,3th–4th c. B.C.,tlg:cd;bcdavasconcelos;cts:perseids;wikidata,001,Idylls,,Εἰδύλλια,urn:cts:greekLit:tlg0005.tlg001,True
0005,Theocritus Bucol.,Θεόκριτος,Theocritus,,3th–4th c. B.C.,tlg:cd;bcdavasconcelos;cts:perseids;wikidata,002,Epigrams,,Ἐπιγράμματα,urn:cts:greekLit:tlg0005.tlg002,True
0005,Theocritus Bucol.,Θεόκριτος,Theocritus,,3th–4th c. B.C.,tlg:cd;bcdavasconcelos;cts:perseids;wikidata,003,Syrinx,Syrinx,,urn:cts:greekLit:tlg0005.tlg003,True
0005,Theocritus Bucol.,Θεόκριτος,Theocritus,,3th–4th c. B.C.,tlg:cd;bcdavasconcelos;cts:perseids;wikidata,004,Fragmentum,,,urn:cts:greekLit:tlg0005.tlg004,False
0005,Theocritus Bucol.,Θεόκριτος,Theocritus,,3th–4th c. B.C.,tlg:cd;bcdavasconcelos;cts:perseids;wikidata,005,Epigrammata,,,urn:cts:greekLit:tlg0005.tlg005,False
0006,Euripides,Εὐριπίδης,Euripides,Trag.,5th c. B.C.,tlg:cd;tlg:post-e;bcdavasconcelos;cts:perseids;wikidata,001,Cyclops,Cyclops,Κύκλωψ,urn:cts:greekLit:tlg0006.tlg001,True
