author_id,work_id,seq,latin_name,greek_name,latin_title,greek_title,english_title,cts_urn,cts_confirmed,exportable
0001,001,1,Apollonius Rhodius,Ἀπολλώνιος Ῥόδιος,Argonautica,,Argonautica,urn:cts:greekLit:tlg0001.tlg001,1,1
0001,002,2,Apollonius Rhodius,Ἀπολλώνιος Ῥόδιος,Fragmenta,,,urn:cts:greekLit:tlg0001.tlg002,0,0
0001,003,3,Apollonius Rhodius,Ἀπολλώνιος Ῥόδιος,Epigrammata,,,urn:cts:greekLit:tlg0001.tlg003,0,0
0002,001,1,Theognis,Θέογνις,Elegiae,,,urn:cts:greekLit:tlg0002.tlg001,0,0
0002,004,2,Theognis,Θέογνις,Epigrammata,,,urn:cts:greekLit:tlg0002.tlg004,0,0
0003,001,1,Thucydides,Θουκυδίδης,Histories,Ἱστορίαι,History of the Peloponnesian War,urn:cts:greekLit:tlg0003.tlg001,1,1
0003,002,2,Thucydides,Θουκυδίδης,Epigramma,,,urn:cts:greekLit:tlg0003.tlg002,0,0
0004,001,1,Diogenes Laertius,Διογένης Λαέρτιος,Vitae philosophorum,Βίοι καὶ γνῶμαι τῶν ἐν φιλοσοφίᾳ εὐδοκιμησάντων,,urn:cts:greekLit:tlg0004.tlg001,1,1
0004,002,2,Diogenes Laertius,Διογένης Λαέρτιος,Epigrammata,,,urn:cts:greekLit:tlg0004.tlg002,0,0
0004,003,3,Diogenes Laertius,Διογένης Λαέρτιος,Vitae philosophorum,,,urn:cts:greekLit:tlg0004.tlg003,0,0
0005,001,1,Theocritus Bucol.,Θεόκριτος,Idylls,Εἰδύλλια,,urn:cts:greekLit:tlg0005.tlg001,1,1
0005,002,2,Theocritus Bucol.,Θεόκριτος,Epigrams,Ἐπιγράμματα,,urn:cts:greekLit:tlg0005.tlg002,1,1
0005,003,3,Theocritus Bucol.,Θεόκριτος,Syrinx,,Syrinx,urn:cts:greekLit:tlg0005.tlg003,1,1
0005,004,4,Theocritus Bucol.,Θεόκριτος,Fragmentum,,,urn:cts:greekLit:tlg0005.tlg004,0,0
0005,005,5,Theocritus Bucol.,Θεόκριτος,Epigrammata,,,urn:cts:greekLit:tlg0005.tlg005,0,0
0006,001,1,Euripides,Εὐριπίδης,Cyclops,Κύκλωψ,Cyclops,urn:cts:greekLit:tlg0006.tlg001,1,1
0006,002,2,Euripides,Εὐριπίδης,Alcestis,Ἄλκηστις,Alcestis,urn:cts:greekLit:tlg0006.tlg002,1,1
0006,003,3,Euripides,Εὐριπίδης,Medea,Μήδεια,Medea,urn:cts:greekLit:tlg0006.tlg003,1,1
0006,004,4,Euripides,Εὐριπίδης,Heraclidae,Ἡρακλεῖδαι,,urn:cts:greekLit:tlg0006.tlg004,1,1
0006,005,5,Euripides,Εὐριπίδης,Hippolytus,Ἱππόλυτος,Hippolytus,urn:cts:greekLit:tlg0006.tlg005,1,1
0006,006,6,Euripides,Εὐριπίδης,Andromache,Ἀνδρομάχη,Andromache,urn:cts:greekLit:tlg0006.tlg006,1,1
0006,007,7,Euripides,Εὐριπίδης,Hecuba,Ἑκάβη,Hecuba,urn:cts:greekLit:tlg0006.tlg007,1,1
0006,008,8,Euripides,Εὐριπίδης,Suppliants,Ἱκέτιδες,The Suppliant Maidens,urn:cts:greekLit:tlg0006.tlg008,1,1
0006,009,9,Euripides,Εὐριπίδης,Heracles,Ἡρακλῆς,Heracles,urn:cts:greekLit:tlg0006.tlg009,1,1
0006,010,10,Euripides,Εὐριπίδης,Ion,Ἴων,Ion,urn:cts:greekLit:tlg0006.tlg010,1,1
0006,011,11,Euripides,Εὐριπίδης,Trojan Women,Τρῳάδες,The Trojan Women,urn:cts:greekLit:tlg0006.tlg011,1,1
0006,012,12,Euripides,Εὐριπίδης,Electra,Ἠλέκτρα,Electra,urn:cts:greekLit:tlg0006.tlg012,1,1
0006,013,13,Euripides,Εὐριπίδης,Iphigeneia in Taurus,Ἰφιγένεια ἐν Ταύροις,Iphigenia in Tauris,urn:cts:greekLit:tlg0006.tlg013,1,1
0006,014,14,Euripides,Εὐριπίδης,Helen,Ἑλένη,Helen,urn:cts:greekLit:tlg0006.tlg014,1,1
0006,015,15,Euripides,Εὐριπίδης,Phoenician Women,Φοίνισσαι,The Phoenician Women,urn:cts:greekLit:tlg0006.tlg015,1,1
0006,016,16,Euripides,Εὐριπίδης,Orestes,Ὀρέστης,Orestes,urn:cts:greekLit:tlg0006.tlg016,1,1
0006,017,17,Euripides,Εὐριπίδης,Bacchae,Βάκχαι,Bacchae,urn:cts:greekLit:tlg0006.tlg017,1,1
0006,018,18,Euripides,Εὐριπίδης,Iphigeneia in Aulis,Ἰφιγένεια ἐν Αὐλίδι,Iphigenia in Aulis,urn:cts:greekLit:tlg0006.tlg018,1,1
0006,019,19,Euripides,Εὐριπίδης,Rhesus,Ῥῆσος,Rhesus,urn:cts:greekLit:tlg0006.tlg019,1,1
0006,020,20,Euripides,Εὐριπίδης,Fragmenta (TGF),,,urn:cts:greekLit:tlg0006.tlg020,1,1
0006,021,21,Euripides,Εὐριπίδης,Cretum (part of Fragmenta Papyracea),,,urn:cts:greekLit:tlg0006.tlg021,0,0
0006,022,22,Euripides,Εὐριπίδης,Epinicium in Alcibiadem,,,urn:cts:greekLit:tlg0006.tlg022,0,0
0006,023,23,Euripides,Εὐριπίδης,Fragmenta Phaethontis,,,urn:cts:greekLit:tlg0006.tlg023,0,0
